,correct word,misspelled word,total edit distance,number of words with error,close change,changes,none word
26,محمد رسول‌الله ص تهران,حظمت رسول‌الله ص تهران,3.0,1.0,0.0,"[[1, 2, 0], [], [], []]",True
27,محمد رسول‌الله ص تهران,کهحمید رسول‌الله ص تهران,3.0,1.0,1.0,"[[0, 2, 2], [], [], []]",True
28,محمد رسول‌الله ص تهران,محجد رسول‌الله ص تهرراچن,3.0,2.0,0.0,"[[0], [], [], [2, 2]]",True
29,محمد رسول‌الله ص تهران,مجحمد رسول‌ابلاله ص تهران,3.0,2.0,1.0,"[[2], [2, 2], [], []]",True
30,رییس شورای شهر تهران,رییس شورای شهر تهربن,1.0,1.0,0.0,"[[], [], [], [0]]",True
31,رییس شورای شهر تهران,ریس شورای شهر تهران,1.0,1.0,1.0,"[[1], [], [], []]",False
32,رییس شورای شهر تهران,رییس شعوری شهر تهران,2.0,1.0,0.0,"[[], [2, 1], [], []]",False
33,رییس شورای شهر تهران,رییس سوزرای شهر تهران,2.0,1.0,1.0,"[[], [0, 2], [], []]",True
34,رییس شورای شهر تهران,رگییس شورا شهر تهران,2.0,2.0,0.0,"[[2], [1], [], []]",True
35,رییس شورای شهر تهران,رییس شرای شهر هران,2.0,2.0,1.0,"[[], [1], [], [1]]",False
36,رییس شورای شهر تهران,رییس کشواری شهر تهران,3.0,1.0,0.0,"[[], [2, 2, 1], [], []]",True
37,رییس شورای شهر تهران,رییس شورای سشخه تهران,3.0,1.0,1.0,"[[], [], [2, 2, 1], []]",True
38,رییس شورای شهر تهران,رییس شژوراای شهر تهرا,3.0,2.0,0.0,"[[], [2, 2], [], [1]]",True
39,رییس شورای شهر تهران,رییس شوراب خر تهران,3.0,2.0,1.0,"[[], [0], [1, 0], []]",False
40,فرمانده نیروی هوافضای سپاه,فرمانده نیروی هوافضاذی سپاه,1.0,1.0,0.0,"[[], [], [2], []]",True
41,فرمانده نیروی هوافضای سپاه,فرمانده نیروی هوافضی سپاه,1.0,1.0,1.0,"[[], [], [1], []]",True
42,فرمانده نیروی هوافضای سپاه,فرمانده نیروی هواژضی سپاه,2.0,1.0,0.0,"[[], [], [0, 1], []]",True
43,فرمانده نیروی هوافضای سپاه,فراند نیروی هوافضای سپاه,2.0,1.0,1.0,"[[1, 1], [], [], []]",True
44,فرمانده نیروی هوافضای سپاه,فرمانده نیروی هخوافضای سپگاه,2.0,2.0,0.0,"[[], [], [2], [2]]",True
45,فرمانده نیروی هوافضای سپاه,غرمانده نیروی هوافای سپاه,2.0,2.0,1.0,"[[0], [], [1], []]",True
46,فرمانده نیروی هوافضای سپاه,مانه نیروی هوافضای سپاه,3.0,1.0,0.0,"[[1, 1, 1], [], [], []]",False
47,فرمانده نیروی هوافضای سپاه,فرمانده میوب هوافضای سپاه,3.0,1.0,1.0,"[[], [0, 1, 0], [], []]",True
48,فرمانده نیروی هوافضای سپاه,فرمنده نیروی هسوافضا سپاه,3.0,2.0,0.0,"[[1], [], [2, 1], []]",True
49,فرمانده نیروی هوافضای سپاه,فرمانده نروی هوافضای سبپا,3.0,2.0,1.0,"[[], [1], [], [2, 1]]",True
50,مدت مشابه سال گذشته,مدت شابه سال گذشته,1.0,1.0,0.0,"[[], [1], [], []]",True
51,مدت مشابه سال گذشته,مدت مابه سال گذشته,1.0,1.0,1.0,"[[], [1], [], []]",False
52,مدت مشابه سال گذشته,مدت مشابه سثقل گذشته,2.0,1.0,0.0,"[[], [], [0, 2], []]",True
53,مدت مشابه سال گذشته,مدت مشابه سال گشت,2.0,1.0,1.0,"[[], [], [], [1, 1]]",False
54,مدت مشابه سال گذشته,مدت مابه ال گذشته,2.0,2.0,0.0,"[[], [1], [1], []]",False
55,مدت مشابه سال گذشته,مدا مشابه سال گرذشته,2.0,2.0,1.0,"[[0], [], [], [2]]",True
56,مدت مشابه سال گذشته,ظمنغ مشابه سال گذشته,3.0,1.0,0.0,"[[2, 0, 0], [], [], []]",True
57,مدت مشابه سال گذشته,نذد مشابه سال گذشته,3.0,1.0,1.0,"[[0, 2, 1], [], [], []]",True
58,مدت مشابه سال گذشته,مدت آشابه ذسا گذشته,3.0,2.0,0.0,"[[], [0], [2, 1], []]",True
59,مدت مشابه سال گذشته,مدت مشابه ستل گذسشاه,3.0,2.0,1.0,"[[], [], [0], [2, 0]]",True
60,صندوق تثبیت بازار سرمایه,صندوق تثبیت بازغار سرمایه,1.0,1.0,0.0,"[[], [], [2], []]",True
61,صندوق تثبیت بازار سرمایه,صندوق تثبست بازار سرمایه,1.0,1.0,1.0,"[[], [0], [], []]",True
62,صندوق تثبیت بازار سرمایه,صندوق تثیشت بازار سرمایه,2.0,1.0,0.0,"[[], [1, 2], [], []]",True
63,صندوق تثبیت بازار سرمایه,صندوق آثببت بازار سرمایه,2.0,1.0,1.0,"[[], [0, 0], [], []]",True
64,صندوق تثبیت بازار سرمایه,عصندوق تثبیت بازار طرمایه,2.0,2.0,0.0,"[[2], [], [], [0]]",True
65,صندوق تثبیت بازار سرمایه,صندوق ثبیت باذزار سرمایه,2.0,2.0,1.0,"[[], [1], [2], []]",True
66,صندوق تثبیت بازار سرمایه,نکدوچق تثبیت بازار سرمایه,3.0,1.0,0.0,"[[1, 2, 2], [], [], []]",True
67,صندوق تثبیت بازار سرمایه,صندوق تثبیت بارزتذر سرمایه,3.0,1.0,1.0,"[[], [], [2, 0, 2], []]",True
68,صندوق تثبیت بازار سرمایه,صصندوق تثبیت بازار سرما,3.0,2.0,0.0,"[[2], [], [], [1, 1]]",True
69,صندوق تثبیت بازار سرمایه,صندوق تثبیت بازاذر سرمابیخ,3.0,2.0,1.0,"[[], [], [2], [2, 0]]",True
70,حرم امام رضا ع,حضم امام رضا ع,1.0,1.0,0.0,"[[0], [], [], []]",True
71,حرم امام رضا ع,حرک امام رضا ع,1.0,1.0,1.0,"[[0], [], [], []]",True
72,حرم امام رضا ع,ام امام رضا ع,2.0,1.0,0.0,"[[1, 0], [], [], []]",False
73,حرم امام رضا ع,حرم املکم رضا ع,2.0,1.0,1.0,"[[], [0, 2], [], []]",True
74,حرم امام رضا ع,حسرم امام رضا مع,2.0,2.0,0.0,"[[2], [], [], [2]]",True
75,حرم امام رضا ع,حرم اما ذضا ع,2.0,2.0,1.0,"[[], [1], [0], []]",True
76,حرم امام رضا ع,حرم الرا رضا ع,3.0,1.0,0.0,"[[], [0, 0, 0], [], []]",True
77,حرم امام رضا ع,حرم امام زرذل ع,3.0,1.0,1.0,"[[], [], [2, 0, 0], []]",True
78,حرم امام رضا ع,حرم امچا رضا ,3.0,2.0,0.0,"[[], [2, 1], [], [1]]",True
79,حرم امام رضا ع,حرم اام ذضتا ع,3.0,2.0,1.0,"[[], [1], [0, 2], []]",True
80,اجرای سیاست‌های کلی اصل,اجرای سیاست‌های کفلی اصل,1.0,1.0,0.0,"[[], [], [2], []]",True
81,اجرای سیاست‌های کلی اصل,اجرای سیاست‌های کلی اص,1.0,1.0,1.0,"[[], [], [], [1]]",False
82,اجرای سیاست‌های کلی اصل,اقرضای سیاست‌های کلی اصل,2.0,1.0,0.0,"[[0, 2], [], [], []]",True
83,اجرای سیاست‌های کلی اصل,اجرای سیاست‌های کبلب اصل,2.0,1.0,1.0,"[[], [], [2, 0], []]",True
84,اجرای سیاست‌های کلی اصل,شجرای سیاست‌های کشی اصل,2.0,2.0,0.0,"[[0], [], [0], []]",True
85,اجرای سیاست‌های کلی اصل,اجرای سیاست‌های کآی صل,2.0,2.0,1.0,"[[], [], [0], [1]]",True
86,اجرای سیاست‌های کلی اصل,اجرای سیاست‌های کلی طاظمل,3.0,1.0,0.0,"[[], [], [], [2, 0, 2]]",True
87,اجرای سیاست‌های کلی اصل,تاجرتبی سیاست‌های کلی اصل,3.0,1.0,1.0,"[[2, 0, 2], [], [], []]",True
88,اجرای سیاست‌های کلی اصل,جرای سکغست‌های کلی اصل,3.0,2.0,0.0,"[[1], [0, 0], [], []]",True
89,اجرای سیاست‌های کلی اصل,اجرای سیات‌عای کل اصل,3.0,2.0,1.0,"[[], [1, 0], [1], []]",True
90,مجموع واکسن‌های تزریق‌شده‌در کشور,مجموع واکسن‌های تزریق‌شدکه‌در کشور,1.0,1.0,0.0,"[[], [], [2], []]",True
91,مجموع واکسن‌های تزریق‌شده‌در کشور,مجموع واسن‌های تزریق‌شده‌در کشور,1.0,1.0,1.0,"[[], [1], [], []]",True
92,مجموع واکسن‌های تزریق‌شده‌در کشور,بمجمحع واکسن‌های تزریق‌شده‌در کشور,2.0,1.0,0.0,"[[2, 0], [], [], []]",True
93,مجموع واکسن‌های تزریق‌شده‌در کشور,مجموع دامسن‌های تزریق‌شده‌در کشور,2.0,1.0,1.0,"[[], [0, 0], [], []]",True
94,مجموع واکسن‌های تزریق‌شده‌در کشور,رمجموع واکسن‌های تزریق‌شده‌در کشوقر,2.0,2.0,0.0,"[[2], [], [], [2]]",True
95,مجموع واکسن‌های تزریق‌شده‌در کشور,مجمو واکسن‌های تطریق‌شده‌در کشور,2.0,2.0,1.0,"[[1], [], [0], []]",True
96,مجموع واکسن‌های تزریق‌شده‌در کشور,مجموع واتان‌هی تزریق‌شده‌در کشور,3.0,1.0,0.0,"[[], [0, 0, 1], [], []]",True
97,مجموع واکسن‌های تزریق‌شده‌در کشور,مجموع واکسن‌های تزریق‌شده‌در مکو,3.0,1.0,1.0,"[[], [], [], [2, 1, 1]]",False
98,مجموع واکسن‌های تزریق‌شده‌در کشور,هجمطع واکسن‌های تزریق‌شده‌دژر کشور,3.0,2.0,0.0,"[[0, 0], [], [2], []]",True
99,مجموع واکسن‌های تزریق‌شده‌در کشور,نجموع واکسن‌های تزریق‌شدخ‌ذدر کشور,3.0,2.0,1.0,"[[0], [], [0, 2], []]",True
100,سازمان ثبت احوال کشور,سازمان ثبت احوال کشودر,1.0,1.0,0.0,"[[], [], [], [2]]",True
101,سازمان ثبت احوال کشور,سازمان ثلت احوال کشور,1.0,1.0,1.0,"[[], [0], [], []]",True
102,سازمان ثبت احوال کشور,سزمابن ثبت احوال کشور,2.0,1.0,0.0,"[[1, 2], [], [], []]",True
103,سازمان ثبت احوال کشور,سازمان ثبت حولال کشور,2.0,1.0,1.0,"[[], [], [1, 2], []]",True
104,سازمان ثبت احوال کشور,سازمان ثبت احوخال کشوچ,2.0,2.0,0.0,"[[], [], [2], [0]]",True
105,سازمان ثبت احوال کشور,سازمان ثت احدوال کشور,2.0,2.0,1.0,"[[], [1], [2], []]",True
106,سازمان ثبت احوال کشور,سازمان حذ احوال کشور,3.0,1.0,0.0,"[[], [0, 1, 0], [], []]",True
107,سازمان ثبت احوال کشور,سلطان ثبت احوال کشور,3.0,1.0,1.0,"[[0, 0, 1], [], [], []]",False
108,سازمان ثبت احوال کشور,سازمان ثبص حپال کشور,3.0,2.0,0.0,"[[], [0], [1, 0], []]",True
109,سازمان ثبت احوال کشور,سازمان صبت تحواا کشور,3.0,2.0,1.0,"[[], [0], [0, 0], []]",True
110,معاون مسیول سیاست خارجی,معاون مسیول سیاست خارجز,1.0,1.0,0.0,"[[], [], [], [0]]",True
111,معاون مسیول سیاست خارجی,معاون مسیل سیاست خارجی,1.0,1.0,1.0,"[[], [1], [], []]",False
112,معاون مسیول سیاست خارجی,معاون مسیول زسیست خارجی,2.0,1.0,0.0,"[[], [], [2, 1], []]",True
113,معاون مسیول سیاست خارجی,معاون مسیول سیاست اذجی,2.0,1.0,1.0,"[[], [], [], [1, 0]]",True
114,معاون مسیول سیاست خارجی,معقون مسیول فیاست خارجی,2.0,2.0,0.0,"[[0], [], [0], []]",True
115,معاون مسیول سیاست خارجی,معاون مسیول سیاسنت خاذجی,2.0,2.0,1.0,"[[], [], [2], [0]]",True
116,معاون مسیول سیاست خارجی,معاون مسیول سیاست خبعرج,3.0,1.0,0.0,"[[], [], [], [0, 2, 1]]",True
117,معاون مسیول سیاست خارجی,مغادمن مسیول سیاست خارجی,3.0,1.0,1.0,"[[0, 0, 2], [], [], []]",True
118,معاون مسیول سیاست خارجی,معاون مسیهژل خسیاست خارجی,3.0,2.0,0.0,"[[], [0, 2], [2], []]",True
119,معاون مسیول سیاست خارجی,معاون مسیول سیاسات حخارحی,3.0,2.0,1.0,"[[], [], [2], [2, 0]]",True
120,بحارالانوار ج ص ح,بحارلانوار ج ص ح,1.0,1.0,0.0,"[[1], [], [], []]",False
121,بحارالانوار ج ص ح,بحارالانوار چ ص ح,1.0,1.0,1.0,"[[], [0], [], []]",False
122,بحارالانوار ج ص ح,بحارادانوار ج س ح,2.0,2.0,0.0,"[[0], [], [0], []]",True
123,بحارالانوار ج ص ح,بحارالاوار ج ث ح,2.0,2.0,1.0,"[[1], [], [0], []]",True
124,بحارالانوار ج ص ح,لحرااانوار ج ص ح,3.0,1.0,1.0,"[[0, 1, 0], [], [], []]",True
125,بحارالانوار ج ص ح,بحارالانتر چ ص ح,3.0,2.0,1.0,"[[1, 0], [0], [], []]",True
126,هیات رییسه شورای شهر,هیات رگیسه شورای شهر,1.0,1.0,0.0,"[[], [0], [], []]",True
127,هیات رییسه شورای شهر,هسات رییسه شورای شهر,1.0,1.0,1.0,"[[0], [], [], []]",True
128,هیات رییسه شورای شهر,هیات رییسه شورای شگپر,2.0,1.0,0.0,"[[], [], [], [0, 2]]",True
129,هیات رییسه شورای شهر,هیات رییسه شای شهر,2.0,1.0,1.0,"[[], [], [1, 1], []]",False
130,هیات رییسه شورای شهر,یات رییسه شورای شه,2.0,2.0,0.0,"[[1], [], [], [1]]",False
131,هیات رییسه شورای شهر,هیات رییسه شوراسی هر,2.0,2.0,1.0,"[[], [], [2], [1]]",True
132,هیات رییسه شورای شهر,بهتیا رییسه شورای شهر,3.0,1.0,0.0,"[[2, 2, 1], [], [], []]",True
133,هیات رییسه شورای شهر,هیات رییسه شورای سشخ,3.0,1.0,1.0,"[[], [], [], [2, 0, 1]]",True
134,هیات رییسه شورای شهر,هیات رییسیه شورای هف,3.0,2.0,0.0,"[[], [2], [], [1, 0]]",True
135,هیات رییسه شورای شهر,هیا رییسه شورای ش,3.0,2.0,1.0,"[[1], [], [], [1, 1]]",False
136,برنامه سوم توسعه شهر,برنامه سوم توسعه شزهر,1.0,1.0,0.0,"[[], [], [], [2]]",True
137,برنامه سوم توسعه شهر,برنامه سوم توسعه شهز,1.0,1.0,1.0,"[[], [], [], [0]]",True
138,برنامه سوم توسعه شهر,برنامه سوم تهعه شهر,2.0,1.0,0.0,"[[], [], [1, 0], []]",True
139,برنامه سوم توسعه شهر,بذرنام سوم توسعه شهر,2.0,1.0,1.0,"[[2, 1], [], [], []]",True
140,برنامه سوم توسعه شهر,برناله سوم تنسعه شهر,2.0,2.0,0.0,"[[0], [], [0], []]",True
141,برنامه سوم توسعه شهر,برنامه وم توعه شهر,2.0,2.0,1.0,"[[], [1], [1], []]",True
142,برنامه سوم توسعه شهر,برنامه سوم عتسقعه شهر,3.0,1.0,0.0,"[[], [], [2, 1, 2], []]",True
143,برنامه سوم توسعه شهر,برنامه سوم آویهه شهر,3.0,1.0,1.0,"[[], [], [0, 0, 0], []]",True
144,برنامه سوم توسعه شهر,رپنامه سوم توسثعه شهر,3.0,2.0,0.0,"[[0, 0], [], [2], []]",True
145,برنامه سوم توسعه شهر,رناه سوم توسعه شعر,3.0,2.0,1.0,"[[1, 1], [], [], [0]]",True
146,آنتونی بلینکن وزیر امور,آنتونی بلینکن وزکیر امور,1.0,1.0,0.0,"[[], [], [2], []]",True
147,آنتونی بلینکن وزیر امور,آنتوی بلینکن وزیر امور,1.0,1.0,1.0,"[[1], [], [], []]",True
148,آنتونی بلینکن وزیر امور,آنتضونعی بلینکن وزیر امور,2.0,1.0,0.0,"[[2, 2], [], [], []]",True
149,آنتونی بلینکن وزیر امور,آنتونی بآلنکن وزیر امور,2.0,1.0,1.0,"[[], [2, 1], [], []]",True
150,آنتونی بلینکن وزیر امور,آنتونی بلینن وزر امور,2.0,2.0,0.0,"[[], [1], [1], []]",True
151,آنتونی بلینکن وزیر امور,آنتونی بلینکن وزیذر امو,2.0,2.0,1.0,"[[], [], [2], [1]]",True
152,آنتونی بلینکن وزیر امور,آنتونی بلینکن شخیع امور,3.0,1.0,0.0,"[[], [], [0, 0, 0], []]",True
153,آنتونی بلینکن وزیر امور,آنتونی بلینکن وزیر تامدز,3.0,1.0,1.0,"[[], [], [], [2, 0, 0]]",True
154,آنتونی بلینکن وزیر امور,آنتونی بلینکن وزیحر ور,3.0,2.0,0.0,"[[], [], [2], [1, 1]]",True
155,آنتونی بلینکن وزیر امور,آنتونی بالینکن زر امور,3.0,2.0,1.0,"[[], [2], [1, 1], []]",True
156,مسیول سیاست خارجی اتحادیه,مسیول سیشست خارجی اتحادیه,1.0,1.0,0.0,"[[], [0], [], []]",True
157,مسیول سیاست خارجی اتحادیه,مسیول سیاست خارجس اتحادیه,1.0,1.0,1.0,"[[], [], [0], []]",True
158,مسیول سیاست خارجی اتحادیه,مسیول سست خارجی اتحادیه,2.0,1.0,0.0,"[[], [1, 1], [], []]",False
159,مسیول سیاست خارجی اتحادیه,مسیول سیلسات خارجی اتحادیه,2.0,1.0,1.0,"[[], [0, 2], [], []]",True
160,مسیول سیاست خارجی اتحادیه,مسیول دیاست خارجی اتحاچیه,2.0,2.0,0.0,"[[], [0], [], [0]]",True
161,مسیول سیاست خارجی اتحادیه,مسیول سیاست هارجی اتحادی,2.0,2.0,1.0,"[[], [], [0], [1]]",True
162,مسیول سیاست خارجی اتحادیه,مسیول سیاست خارجی اتعادت,3.0,1.0,0.0,"[[], [], [], [0, 0, 1]]",True
163,مسیول سیاست خارجی اتحادیه,مسیول سسلایت خارجی اتحادیه,3.0,1.0,1.0,"[[], [0, 2, 0], [], []]",True
164,مسیول سیاست خارجی اتحادیه,آسیول سست خارجی اتحادیه,3.0,2.0,0.0,"[[0], [1, 1], [], []]",True
165,مسیول سیاست خارجی اتحادیه,مسیول سست خارجی اتهحادیه,3.0,2.0,1.0,"[[], [1, 1], [], [2]]",True
166,طی هشت سال گذشته,طی هشت گال گذشته,1.0,1.0,0.0,"[[], [], [0], []]",False
167,طی هشت سال گذشته,ط هشت سال گذشته,1.0,1.0,1.0,"[[1], [], [], []]",False
168,طی هشت سال گذشته,طی هشت سال خگذشتآ,2.0,1.0,0.0,"[[], [], [], [2, 0]]",True
169,طی هشت سال گذشته,طی هشت شسلل گذشته,2.0,1.0,1.0,"[[], [], [2, 0], []]",True
170,طی هشت سال گذشته,شطی هش سال گذشته,2.0,2.0,0.0,"[[2], [1], [], []]",True
171,طی هشت سال گذشته,ی هشت ساب گذشته,2.0,2.0,1.0,"[[1], [], [0], []]",False
172,طی هشت سال گذشته,طی هشت عگش گذشته,3.0,1.0,0.0,"[[], [], [0, 0, 0], []]",True
173,طی هشت سال گذشته,طی حهسطت سال گذشته,3.0,1.0,1.0,"[[], [2, 0, 2], [], []]",True
174,طی هشت سال گذشته,طی هشت سصل ظگتشته,3.0,2.0,0.0,"[[], [], [0], [2, 0]]",True
175,طی هشت سال گذشته,طس هشت یاآ گذشته,3.0,2.0,1.0,"[[0], [], [0, 0], []]",True
176,امام صادق ع می‌فرماید,امام صادق ت می‌فرماید,1.0,1.0,0.0,"[[], [], [0], []]",False
177,امام صادق ع می‌فرماید,امام صتادق ع می‌فرماید,1.0,1.0,1.0,"[[], [2], [], []]",True
178,امام صادق ع می‌فرماید,گمم صادق ع می‌فرماید,2.0,1.0,0.0,"[[0, 1], [], [], []]",True
179,امام صادق ع می‌فرماید,تاکام صادق ع می‌فرماید,2.0,1.0,1.0,"[[2, 0], [], [], []]",True
180,امام صادق ع می‌فرماید,امام صادص ع می‌فرمای,2.0,2.0,0.0,"[[], [0], [], [1]]",True
181,امام صادق ع می‌فرماید,املم صادق غ می‌فرماید,2.0,2.0,1.0,"[[0], [], [0], []]",True
182,امام صادق ع می‌فرماید,امام ظصچاحق ع می‌فرماید,3.0,1.0,0.0,"[[], [2, 2, 0], [], []]",True
183,امام صادق ع می‌فرماید,امام ضصلدثق ع می‌فرماید,3.0,1.0,1.0,"[[], [2, 0, 2], [], []]",True
184,امام صادق ع می‌فرماید,امام جحدق ف می‌فرماید,3.0,2.0,0.0,"[[], [0, 0], [0], []]",True
185,امام صادق ع می‌فرماید,امام صادق  می‌غرمایذ,3.0,2.0,1.0,"[[], [], [1], [0, 0]]",True
186,طی چند روز اخیر,طی چند روز اخیم,1.0,1.0,0.0,"[[], [], [], [0]]",True
187,طی چند روز اخیر,طی پند روز اخیر,1.0,1.0,1.0,"[[], [0], [], []]",False
188,طی چند روز اخیر,طی چند خرونز اخیر,2.0,1.0,0.0,"[[], [], [2, 2], []]",True
189,طی چند روز اخیر,زط چند روز اخیر,2.0,1.0,1.0,"[[2, 1], [], [], []]",True
190,طی چند روز اخیر,ط چند روز اپخیر,2.0,2.0,0.0,"[[1], [], [], [2]]",True
191,طی چند روز اخیر,طس چند روز ایر,2.0,2.0,1.0,"[[0], [], [], [1]]",True
192,طی چند روز اخیر,طی چند ج اخیر,3.0,1.0,0.0,"[[], [], [0, 1, 1], []]",False
193,طی چند روز اخیر,طی ذ روز اخیر,3.0,1.0,1.0,"[[], [1, 1, 0], [], []]",False
194,طی چند روز اخیر, چند روز اخحیر,3.0,2.0,0.0,"[[1, 1], [], [], [2]]",True
195,طی چند روز اخیر,طی چمن ردوز اخیر,3.0,2.0,1.0,"[[], [2, 1], [2], []]",True
196,مقاومت اسلامی فلسطین حماس,مقاومت اسلامی فلآسطین حماس,1.0,1.0,0.0,"[[], [], [2], []]",True
197,مقاومت اسلامی فلسطین حماس,مقاومت اسلامی قفلسطین حماس,1.0,1.0,1.0,"[[], [], [2], []]",True
198,مقاومت اسلامی فلسطین حماس,مقاومت اسلامی فلسطین اس,2.0,1.0,0.0,"[[], [], [], [1, 1]]",False
199,مقاومت اسلامی فلسطین حماس,مقاومت اسلامی فلشسطبن حماس,2.0,1.0,1.0,"[[], [], [2, 0], []]",True
200,مقاومت اسلامی فلسطین حماس,مقاومت اسقلامی فلسچطین حماس,2.0,2.0,0.0,"[[], [2], [2], []]",True
201,مقاومت اسلامی فلسطین حماس,مقاومت اسلامب فلسطن حماس,2.0,2.0,1.0,"[[], [0], [1], []]",True
202,مقاومت اسلامی فلسطین حماس,مذقیشمت اسلامی فلسطین حماس,3.0,1.0,0.0,"[[2, 0, 0], [], [], []]",True
203,مقاومت اسلامی فلسطین حماس,مقاومت تاسلمس فلسطین حماس,3.0,1.0,1.0,"[[], [2, 1, 0], [], []]",True
204,مقاومت اسلامی فلسطین حماس,مقاومت صاسلامن فلسطین حمس,3.0,2.0,0.0,"[[], [2, 0], [], [1]]",True
205,مقاومت اسلامی فلسطین حماس,مقلونمت اسلامی فلسطیتن حماس,3.0,2.0,1.0,"[[0, 2], [], [2], []]",True
206,جو بایدن رییس‌جمهور آمریکا,رجو بایدن رییس‌جمهور آمریکا,1.0,1.0,0.0,"[[2], [], [], []]",True
207,جو بایدن رییس‌جمهور آمریکا,ج بایدن رییس‌جمهور آمریکا,1.0,1.0,1.0,"[[1], [], [], []]",False
208,جو بایدن رییس‌جمهور آمریکا,ط بایدن رییس‌جمهور آمریکا,2.0,1.0,0.0,"[[1, 0], [], [], []]",False
209,جو بایدن رییس‌جمهور آمریکا,جو باسدمن رییس‌جمهور آمریکا,2.0,1.0,1.0,"[[], [0, 2], [], []]",True
210,جو بایدن رییس‌جمهور آمریکا,جو حایدن رییس‌جمهور آمرقکا,2.0,2.0,0.0,"[[], [0], [], [0]]",True
211,جو بایدن رییس‌جمهور آمریکا,جو باسدن رییس‌جمهور آمریک,2.0,2.0,1.0,"[[], [0], [], [1]]",True
212,جو بایدن رییس‌جمهور آمریکا,جو بداتدجن رییس‌جمهور آمریکا,3.0,1.0,0.0,"[[], [2, 0, 2], [], []]",True
213,جو بایدن رییس‌جمهور آمریکا,جو بایدن زرسیس‌جمور آمریکا,3.0,1.0,1.0,"[[], [], [2, 0, 1], []]",True
214,جو بایدن رییس‌جمهور آمریکا,ف باصیدن رییس‌جمهور آمریکا,3.0,2.0,0.0,"[[1, 0], [2], [], []]",True
215,جو بایدن رییس‌جمهور آمریکا,جو بایدن رییس‌جنمور آمربکا,3.0,2.0,1.0,"[[], [], [2, 1], [0]]",True
216,خط لوله نورد استریم,خط لغله نورد استریم,1.0,1.0,0.0,"[[], [0], [], []]",True
