,correct word,misspelled word
337,نیز انجام,نیز انچانم
338,نیز انجام,نیز انشانم
339,نیز انجام,نیز انچجاک
340,نیز انجام,نیز انچجانم
341,نیز انجام,نیز انآجا
342,نیز انجام,نیز انال
343,نیز انجام,نیز انانم
344,نیز انجام,نیز انا
345,روبه‌رو شدند,ردبه‌رو شدند
346,روبه‌رو شدند,ردوبه‌رو شدند
347,روبه‌رو شدند,ربه‌رو شدند
348,روبه‌رو شدند,روبه‌رو شدتد
349,روبه‌رو شدند,روبه‌رو شدتند
350,روبه‌رو شدند,روبه‌رو شدد
351,روبه‌رو شدند,ردبه‌رو شدمد
352,روبه‌رو شدند,رزبه‌رو شدمند
353,روبه‌رو شدند,ردبه‌رو شدمند
354,روبه‌رو شدند,ردوبه‌رو شدتد
355,روبه‌رو شدند,ردوبه‌رو شدتند
356,روبه‌رو شدند,ردوبه‌رو شدد
357,روبه‌رو شدند,ربه‌رو شدتد
358,روبه‌رو شدند,ربه‌رو شدلند
359,روبه‌رو شدند,ربه‌رو شدد
360,محکوم کرده,مهکوم کرده
361,محکوم کرده,مهحکوم کرده
362,محکوم کرده,مکوم کرده
363,محکوم کرده,محکوم کزده
364,محکوم کرده,محکوم کزرده
365,محکوم کرده,محکوم کده
366,محکوم کرده,مهکوم کزده
367,محکوم کرده,مهکوم کذرده
368,محکوم کرده,مجکوم کذرده
369,محکوم کرده,مجحکوم کزده
370,محکوم کرده,مظحکوم کذرده
371,محکوم کرده,مجحکوم کده
372,محکوم کرده,مکوم کآده
373,محکوم کرده,مکوم کزرده
374,محکوم کرده,مکوم کده
375,نفر می‌رسد,مفر می‌رسد
376,نفر می‌رسد,تنفر می‌رسد
377,نفر می‌رسد,فر می‌رسد
378,نفر می‌رسد,نفر می‌رید
379,نفر می‌رسد,نفر می‌ریسد
380,نفر می‌رسد,نفر می‌رد
381,نفر می‌رسد,مفر می‌رید
382,نفر می‌رسد,مفر می‌رشسد
383,نفر می‌رسد,تفر می‌ریسد
384,نفر می‌رسد,منفر می‌رید
385,نفر می‌رسد,منفر می‌ریسد
386,نفر می‌رسد,منفر می‌رد
387,نفر می‌رسد,فر می‌رید
388,نفر می‌رسد,فر می‌ریسد
389,نفر می‌رسد,فر می‌رد
390,بهداشت فردی,بهداشت قردی
391,بهداشت فردی,بهداشت غفردی
392,بهداشت فردی,بهداشت ردی
393,بهداشت فردی,بهداشت فصدی
394,بهداشت فردی,بهداشت فذردی
395,بهداشت فردی,بهداشت فدی
396,بهداشت فردی,بهداشت قگدی
397,بهداشت فردی,بهداشت غذردی
398,بهداشت فردی,بهداشت غذردی
399,بهداشت فردی,بهداشت غفذدی
400,بهداشت فردی,بهداشت قفذردی
401,بهداشت فردی,بهداشت غفدی
402,بهداشت فردی,بهداشت ذدی
403,بهداشت فردی,بهداشت ذردی
404,بهداشت فردی,بهداشت دی
405,اتفاقات خوبی,اتفاثات خوبی
406,اتفاقات خوبی,اتفاغقات خوبی
407,اتفاقات خوبی,اتفاات خوبی
408,اتفاقات خوبی,اتفاقات خونی
409,اتفاقات خوبی,اتفاقات خویبی
410,اتفاقات خوبی,اتفاقات خوی
411,اتفاقات خوبی,اتفاغات خویی
412,اتفاقات خوبی,اتفافات خویبی
413,اتفاقات خوبی,اتفاغات خولبی
414,اتفاقات خوبی,اتفافقات خویی
415,اتفاقات خوبی,اتفاغقات خویبی
416,اتفاقات خوبی,اتفاثقات خوی
417,اتفاقات خوبی,اتفاات خولی
418,اتفاقات خوبی,اتفاات خویبی
419,اتفاقات خوبی,اتفاات خوی
420,جلسات متعددی,چلسات متعددی
421,جلسات متعددی,حجلسات متعددی
422,جلسات متعددی,لسات متعددی
423,جلسات متعددی,جلسات متعددس
424,جلسات متعددی,جلسات متعددسی
425,جلسات متعددی,جلسات متعدد
426,جلسات متعددی,حلسات متعددب
427,جلسات متعددی,چلسات متعددبی
428,جلسات متعددی,رلسات متعددبی
429,جلسات متعددی,چجلسات متعددب
430,جلسات متعددی,حجلسات متعددسی
431,جلسات متعددی,حجلسات متعدد
432,جلسات متعددی,لسات متعددب
433,جلسات متعددی,لسات متعددبی
434,جلسات متعددی,لسات متعدد
435,گفت پس,کفت پس
436,گفت پس,کگفت پس
437,گفت پس,فت پس
438,گفت پس,گغت پس
439,گفت پس,گغفت پس
440,گفت پس,گت پس
441,گفت پس,کثت پس
442,گفت پس,کقفت پس
443,گفت پس,کهفت پس
444,گفت پس,کگغت پس
445,گفت پس,کگثفت پس
446,گفت پس,کگت پس
447,گفت پس,غت پس
448,گفت پس,قفت پس
449,گفت پس,ت پس
450,چندین برابر,چندیت برابر
451,چندین برابر,چندیمن برابر
452,چندین برابر,چندی برابر
453,چندین برابر,چندین برابذ
454,چندین برابر,چندین برابذر
455,چندین برابر,چندین براب
456,چندین برابر,چندیم برابذ
457,چندین برابر,چندیگ برابزر
458,چندین برابر,چندیم برابضر
459,چندین برابر,چندیتن برابذ
460,چندین برابر,چندیتن برابذر
461,چندین برابر,چندیخن براب
462,چندین برابر,چندی برابذ
463,چندین برابر,چندی برابزر
464,چندین برابر,چندی براب
465,دسترس قرار,یسترس قرار
466,دسترس قرار,ثدسترس قرار
467,دسترس قرار,سترس قرار
468,دسترس قرار,دسترش قرار
469,دسترس قرار,دسترشس قرار
470,دسترس قرار,دستر قرار
471,دسترس قرار,یسترش قرار
472,دسترس قرار,یستریس قرار
473,دسترس قرار,ذسترشس قرار
474,دسترس قرار,ذدسترت قرار
475,دسترس قرار,ذدسترشس قرار
476,دسترس قرار,یدستر قرار
477,دسترس قرار,سترش قرار
478,دسترس قرار,ستریس قرار
479,دسترس قرار,ستر قرار
480,اعتماد ملی,اعتماد مآی
481,اعتماد ملی,اعتماد مآلی
482,اعتماد ملی,اعتماد می
483,اعتماد ملی,اعتماد ملب
484,اعتماد ملی,اعتماد ملسی
485,اعتماد ملی,اعتماد مل
486,اعتماد ملی,اعتماد مخس
487,اعتماد ملی,اعتماد ماسی
488,اعتماد ملی,اعتماد مآای
489,اعتماد ملی,اعتماد مآلب
490,اعتماد ملی,اعتماد مآلسی
491,اعتماد ملی,اعتماد مال
492,اعتماد ملی,اعتماد مس
493,اعتماد ملی,اعتماد مسی
494,اعتماد ملی,اعتماد م
495,تصمیم گرفتم,تصکیم گرفتم
496,تصمیم گرفتم,تصکمیم گرفتم
497,تصمیم گرفتم,تصیم گرفتم
498,تصمیم گرفتم,تصموم گرفتم
499,تصمیم گرفتم,تصمبیم گرفتم
500,تصمیم گرفتم,تصمم گرفتم
501,تصمیم گرفتم,تصنبم گرفتم
502,تصمیم گرفتم,تصکبیم گرفتم
503,تصمیم گرفتم,تصکبیم گرفتم
504,تصمیم گرفتم,تصکمسم گرفتم
505,تصمیم گرفتم,تصنمبیم گرفتم
506,تصمیم گرفتم,تصظمم گرفتم
507,تصمیم گرفتم,تصبم گرفتم
508,تصمیم گرفتم,تصسیم گرفتم
509,تصمیم گرفتم,تصم گرفتم
510,افزود ما,افطود ما
511,افزود ما,افذزود ما
512,افزود ما,افود ما
513,افزود ما,افزوذ ما
514,افزود ما,افزوند ما
515,افزود ما,افزو ما
516,افزود ما,افذوپ ما
517,افزود ما,افروذد ما
518,افزود ما,افطوید ما
519,افزود ما,افذزوی ما
520,افزود ما,افصزوضد ما
521,افزود ما,افذزو ما
522,افزود ما,افوذ ما
523,افزود ما,افوخد ما
524,افزود ما,افو ما
525,سطح پایین,سطح پاسین
526,سطح پایین,سطح پابیین
527,سطح پایین,سطح پاین
528,سطح پایین,سطح پاییم
529,سطح پایین,سطح پاییون
530,سطح پایین,سطح پایی
531,سطح پایین,سطح پاسیم
532,سطح پایین,سطح پاسیتن
533,سطح پایین,سطح پابیتن
534,سطح پایین,سطح پابییم
535,سطح پایین,سطح پابییتن
536,سطح پایین,سطح پاسیی
537,سطح پایین,سطح پایج
538,سطح پایین,سطح پایمن
539,سطح پایین,سطح پای
540,حدود میلیون,حدوذ میلیون
541,حدود میلیون,حدوذد میلیون
542,حدود میلیون,حدو میلیون
543,حدود میلیون,حدود میلسون
544,حدود میلیون,حدود میلبیون
545,حدود میلیون,حدود میلون
546,حدود میلیون,حدوی میلبون
547,حدود میلیون,حدوی میلبیون
548,حدود میلیون,حدوی میلسیون
549,حدود میلیون,حدوذد میلسون
550,حدود میلیون,حدوذد میلسیون
551,حدود میلیون,حدوید میلون
552,حدود میلیون,حدو میلسون
553,حدود میلیون,حدو میلفیون
554,حدود میلیون,حدو میلون
555,تحریم علیه,تحزیم علیه
556,تحریم علیه,تحزریم علیه
557,تحریم علیه,تحیم علیه
558,تحریم علیه,تحریم غلیه
559,تحریم علیه,تحریم گعلیه
560,تحریم علیه,تحریم لیه
561,تحریم علیه,تحذیم هلیه
562,تحریم علیه,تحزیم غعلیه
563,تحریم علیه,تحذیم غعلیه
564,تحریم علیه,تحذریم هلیه
565,تحریم علیه,تحزریم هعلیه
566,تحریم علیه,تحزریم لیه
567,تحریم علیه,تحیم غلیه
568,تحریم علیه,تحیم هعلیه
569,تحریم علیه,تحیم لیه
570,مسیولان دولت,مسیوبان دولت
571,مسیولان دولت,مسیوالان دولت
572,مسیولان دولت,مسیوان دولت
573,مسیولان دولت,مسیولام دولت
574,مسیولان دولت,مسیولامن دولت
575,مسیولان دولت,مسیولا دولت
576,مسیولان دولت,مسیوبات دولت
577,مسیولان دولت,مسیوآاتن دولت
578,مسیولان دولت,مسیوآاتن دولت
579,مسیولان دولت,مسیوآلام دولت
580,مسیولان دولت,مسیوالامن دولت
581,مسیولان دولت,مسیوآلا دولت
582,مسیولان دولت,مسیوات دولت
583,مسیولان دولت,مسیوامن دولت
584,مسیولان دولت,مسیوا دولت
585,بسیار مهمی,بییار مهمی
586,بسیار مهمی,بشسیار مهمی
587,بسیار مهمی,بیار مهمی
588,بسیار مهمی,بسیار مهکی
589,بسیار مهمی,بسیار مهنمی
590,بسیار مهمی,بسیار مهی
591,بسیار مهمی,بییار مهنی
592,بسیار مهمی,بییار مهنمی
593,بسیار مهمی,بشیار مهنمی
594,بسیار مهمی,بشسیار مهنی
595,بسیار مهمی,بیسیار مهنمی
596,بسیار مهمی,بشسیار مهی
597,بسیار مهمی,بیار مهکی
598,بسیار مهمی,بیار مهنمی
599,بسیار مهمی,بیار مهی
600,حل کنند,حل کمند
601,حل کنند,حل کتنند
602,حل کنند,حل کند
603,حل کنند,حل کنمد
604,حل کنند,حل کنتند
605,حل کنند,حل کند
606,حل کنند,حل کتتد
607,حل کنند,حل کمتند
608,حل کنند,حل کممند
609,حل کنند,حل کمنود
610,حل کنند,حل کلنتند
611,حل کنند,حل کلند
612,حل کنند,حل کلد
613,حل کنند,حل کمند
614,حل کنند,حل کد
615,روال عادی,روتل عادی
616,روال عادی,روقال عادی
617,روال عادی,رول عادی
618,روال عادی,روال هادی
619,روال عادی,روال غعادی
620,روال عادی,روال ادی
621,روال عادی,رولل غادی
622,روال عادی,روتل هعادی
623,روال عادی,روتل هعادی
624,روال عادی,روتال هادی
625,روال عادی,روتال هعادی
626,روال عادی,روتال ادی
627,روال عادی,رول هادی
628,روال عادی,رول غعادی
629,روال عادی,رول ادی
630,چارچوب هماهنگی,چارچوب هملهنگی
631,چارچوب هماهنگی,چارچوب هملاهنگی
632,چارچوب هماهنگی,چارچوب همهنگی
633,چارچوب هماهنگی,چارچوب هماهمگی
634,چارچوب هماهنگی,چارچوب هماهتنگی
635,چارچوب هماهنگی,چارچوب هماهگی
636,چارچوب هماهنگی,چارچوب هملهتگی
637,چارچوب هماهنگی,چارچوب همتهمنگی
638,چارچوب هماهنگی,چارچوب همتهتنگی
639,چارچوب هماهنگی,چارچوب هملاهتگی
640,چارچوب هماهنگی,چارچوب هملاهمنگی
641,چارچوب هماهنگی,چارچوب هملاهگی
642,چارچوب هماهنگی,چارچوب همهتگی
643,چارچوب هماهنگی,چارچوب همهمنگی
644,چارچوب هماهنگی,چارچوب همهگی
645,میلیون دز,میبیون دز
646,میلیون دز,میللیون دز
647,میلیون دز,مییون دز
648,میلیون دز,میلیوت دز
649,میلیون دز,میلیومن دز
650,میلیون دز,میلیو دز
651,میلیون دز,میبیوت دز
652,میلیون دز,میایومن دز
653,میلیون دز,میبیوتن دز
654,میلیون دز,میبلیوت دز
655,میلیون دز,میآلیوتن دز
656,میلیون دز,میالیو دز
657,میلیون دز,مییوت دز
658,میلیون دز,مییومن دز
659,میلیون دز,مییو دز
660,دسترسی مردم,دسترسس مردم
661,دسترسی مردم,دسترسبی مردم
662,دسترسی مردم,دسترس مردم
663,دسترسی مردم,دسترسی مردک
664,دسترسی مردم,دسترسی مردکم
665,دسترسی مردم,دسترسی مرد
666,دسترسی مردم,دسترسب مردن
667,دسترسی مردم,دسترسب مردکم
668,دسترسی مردم,دسترسب مردکم
669,دسترسی مردم,دسترسبی مردن
670,دسترسی مردم,دسترسسی مردنم
671,دسترسی مردم,دسترسبی مرد
672,دسترسی مردم,دسترس مردن
673,دسترسی مردم,دسترس مردکم
674,دسترسی مردم,دسترس مرد
675,افراد خانواده,اقراد خانواده
676,افراد خانواده,اغفراد خانواده
677,افراد خانواده,اراد خانواده
678,افراد خانواده,افرتد خانواده
679,افراد خانواده,افرلاد خانواده
680,افراد خانواده,افرد خانواده
681,افراد خانواده,اقرلد خانواده
682,افراد خانواده,اغرلاد خانواده
683,افراد خانواده,اذرلاد خانواده
684,افراد خانواده,اغفرلد خانواده
685,افراد خانواده,اقفرلاد خانواده
686,افراد خانواده,اغفرد خانواده
687,افراد خانواده,ارلد خانواده
688,افراد خانواده,ارلاد خانواده
689,افراد خانواده,ارد خانواده
690,اما حضور,اکا حضور
691,اما حضور,انما حضور
692,اما حضور,اا حضور
693,اما حضور,اما هضور
694,اما حضور,اما جحضور
695,اما حضور,اما ضور
696,اما حضور,اضا هضور
697,اما حضور,انا هحضور
698,اما حضور,انا جحضور
699,اما حضور,انما مضور
700,اما حضور,اکما جحضور
701,اما حضور,انما ضور
702,اما حضور,اا جضور
703,اما حضور,اا خحضور
704,اما حضور,اا ضور
705,شهری کشور,سهری کشور
706,شهری کشور,سشهری کشور
707,شهری کشور,هری کشور
708,شهری کشور,شهری کشدر
709,شهری کشور,شهری کشدور
710,شهری کشور,شهری کشر
711,شهری کشور,ژهری کشدر
712,شهری کشور,سهری کشدور
713,شهری کشور,تهری کشفور
714,شهری کشور,ثشهری کشدر
715,شهری کشور,سشهری کشدور
716,شهری کشور,سشهری کشر
717,شهری کشور,هری کشدر
718,شهری کشور,هری کشدور
719,شهری کشور,هری کشر
720,ماه اول,ماح اول
721,ماه اول,ماخه اول
722,ماه اول,ما اول
723,ماه اول,ماه تول
724,ماه اول,ماه تاول
725,ماه اول,ماه ول
726,ماه اول,ماع خول
727,ماه اول,ماخ لاول
728,ماه اول,ماح لاول
729,ماه اول,ماخه تول
730,ماه اول,ماحه لاول
731,ماه اول,ماعه ول
732,ماه اول,ما لول
733,ماه اول,ما تاول
734,ماه اول,ما ول
735,گل محمدی,گب محمدی
736,گل محمدی,گآل محمدی
737,گل محمدی,گ محمدی
738,گل محمدی,گل محمدس
739,گل محمدی,گل محمدبی
740,گل محمدی,گل محمد
741,گل محمدی,گآ محمدس
742,گل محمدی,گا محمدسی
743,گل محمدی,گب محمدسی
744,گل محمدی,گآل محمدس
